X,Y,Potential_Energy
1.416084,1.359938,-4.008559
0.709620,2.129978,-4.521360
0.965087,0.416543,-1.518970
3.686230,3.114359,-1.501302
1.650670,0.405675,-1.767847
2.914159,4.802139,-0.742491
4.027338,1.402272,-0.792800
5.523159,3.240071,-1.311660
0.314497,5.280475,-0.031855
6.395283,3.905264,-0.576935
5.023203,3.197747,-1.579910
0.654072,1.946003,-4.562392
6.988629,1.998011,-0.016810
7.366979,4.016922,-0.075128
0.488624,5.964836,-0.003067
2.215021,3.971035,1.258004
6.449610,3.346701,-0.361723
5.986078,4.383903,-1.234174
1.476168,2.791234,-1.544832
1.674795,0.360854,-1.660311
2.963777,3.373781,-0.399730
3.876184,5.745752,-0.906207
4.946038,1.051818,-0.252028
2.951309,4.140029,-0.016980
3.700278,1.205602,-1.347037
5.979768,3.214966,-0.751766
0.293466,0.580059,-1.321884
2.019496,2.702226,-0.895668
5.706797,4.536980,-1.693638
7.161655,2.085429,-0.011890
4.093420,3.989470,-1.972047
4.256908,4.772700,-2.609576
0.857376,5.563067,-0.012925
3.579299,1.407852,-1.405236
4.260938,2.395895,-0.438222
1.939764,0.914496,-3.092105
2.153946,5.954901,-0.049019
3.018273,5.562006,-0.465672
0.160570,3.239743,-2.275825
2.576633,5.052200,-0.419125
1.691584,3.125748,-0.132873
2.619979,3.741514,0.670453
0.958097,0.534747,-1.805599
7.124218,4.531623,-0.173325
4.748740,0.766281,-0.281468
5.432819,4.956406,-1.940706
6.313370,4.692169,-0.789783
3.987538,4.252468,-2.054560
0.695362,0.216962,-0.948148
4.296852,1.818770,-0.103133
4.694729,1.578675,-0.125260
5.963516,2.160818,-0.236061
3.453276,0.525856,-1.027530
1.020642,5.621747,-0.011906
2.270207,3.322813,0.546378
2.904658,1.833146,-1.782043
5.167338,2.381889,-0.496644
4.566226,2.683215,-0.818648
2.848774,3.603566,0.101156
7.892122,3.094077,-0.006228
4.846199,5.516352,-1.664479
1.897814,2.981781,-0.279863
0.814260,5.952948,-0.003543
1.222873,5.108550,-0.026581
1.967662,1.251063,-3.601917
1.285451,5.583571,-0.017972
1.492536,0.698198,-2.540608
2.280761,4.904698,-0.172047
1.386989,2.283740,-3.114488
7.174123,5.267846,-0.168618
0.641870,5.208340,-0.034953
4.196091,4.835552,-2.527420
3.283175,4.740183,-1.285958
7.859029,1.828075,-0.000731
0.896311,0.485516,-1.637295
3.182845,2.417881,-1.142881
7.755763,1.041147,-0.000176
6.924057,4.169707,-0.231531
6.536577,2.076598,-0.063571
2.063223,5.853661,-0.049447
1.367101,3.845832,0.768992
5.349146,4.934883,-2.065990
7.435008,0.795148,-0.000321
4.454103,5.172087,-2.221466
4.572902,5.536543,-1.613191
2.239833,2.922372,-0.300686
6.155943,3.637518,-0.756130
1.496350,4.588859,0.379671
2.589434,1.049032,-2.790721
3.403492,3.015396,-1.295931
4.060883,2.391978,-0.567962
1.939278,0.878244,-3.004112
0.918695,2.205207,-4.246283
4.884960,0.409034,-0.134679
2.309044,0.154871,-1.156151
4.649906,0.810998,-0.344794
1.234902,5.778691,-0.009978
3.849121,3.297177,-1.635662
4.260715,5.794933,-1.079360
0.414588,2.594987,-3.923934
2.692834,1.870897,-1.958805
1.075317,3.036851,-1.805256
0.507000,2.637070,-3.840770
7.919682,0.633988,-0.000036
2.578831,3.844958,0.795309
6.478996,1.296229,-0.018398
2.037125,3.717528,1.282096
5.452022,3.901207,-1.922654
6.081823,0.912149,-0.024536
4.765110,0.368098,-0.155538
3.772610,4.684570,-2.073973
3.294727,2.758803,-1.207474
2.790946,0.348983,-1.282846
7.436233,5.969198,-0.081867
6.644955,0.346683,-0.001718
7.720215,4.170211,-0.032756
0.994378,5.902074,-0.004943
5.846940,1.435081,-0.093195
7.506724,0.853496,-0.000284
1.449865,0.728310,-2.617086
0.531970,1.819651,-4.418405
5.928965,0.606275,-0.020503
4.595785,4.152968,-2.452103
