step	direction	RMSD(A)	Rg(A)	Energy	CVs_grad
47	6	4.680561240732819	7.070332	-923.9545	1473.6644740626823
47	7	4.486137996513184	7.4831557	-1097.8802	423.81254993694733
47	8	4.965627076655854	7.330855	-1562.6773	-272.70968832176027
48	1	4.467825709395565	6.949148	8.133	4548.843753303526
48	2	4.9386700099654455	7.2865877	-3091.3492	-6253.071288113843
48	3	4.630725115846185	7.3290744	-669.812	712.785926015883
48	4	5.019842483670328	7.460517	-895.579	57.07292139845127
48	5	5.087404730302445	7.375695	-1185.9661	-544.962959852468
48	6	4.459821128699645	7.416282	137.5666	2559.9735131271495
48	7	4.528296138587569	6.8891516	180.1319	5863.469073562115
48	8	4.605904006786079	7.1041207	-642.612	2953.2847692987334
49	1	3.823471146309943	8.079535	-617.22	-472.46539113508294
49	2	4.397475388451331	7.3206377	-427.9367	-1218.0445596371862
49	3	4.531196255692646	6.8641944	-953.7406	-8466.987232635911
49	4	4.642832260753991	7.123437	-202.2079	-715.2557662561663
49	5	4.512196621093062	7.0495977	-799.6879	-5236.944601793083
49	6	4.519334735051646	7.203577	1061.4184	3648.2648459457573
49	7	4.364883924952655	7.2044907	-318.439	-1195.7040723889554
49	8	4.698441231114892	7.599435	-131.0795	-178.25048917229307
50	1	9.652989652458183	12.84204	-2440.725	-764.6505572072176
50	2	9.710417439771076	12.970174	-2629.234	-932.4130660285095
50	3	9.548606328376202	12.766409	-1753.4471	-396.5853740816273
50	4	10.302903714520676	13.46111	-2651.8212	-1591.6968095255156
50	5	9.989650369892898	13.204072	-2168.0106	-823.1540583830673
50	6	9.783608704213163	13.044091	-2592.9348	-959.8569457456557
50	7	10.31467986433147	13.415115	-2372.9932	-1291.2577636562037
50	8	10.28901160168634	13.381019	-3043.5765	-1780.1935013050015
51	1	10.196889737653791	13.373753	-1402.3754	27989.36679735092
51	2	9.294134479803203	12.568937	-2534.5117	408.1797238519828
51	3	9.49123626793265	12.722897	-2095.8014	923.6655873227216
51	4	9.625814508437953	12.925016	-3033.0463	13.97192345185111
51	5	9.025710853997527	12.316939	-2810.154	144.26210994270107
51	6	9.91698920433002	13.107276	-3052.6885	-20.756144689710922
51	7	9.174115975484046	12.453004	-1483.5823	1105.5443804645001
51	8	10.01378805639044	13.126769	-3069.4837	-74.63326352932522
52	1	9.975407546950441	13.122598	-2223.1192	13965.479220914032
52	2	10.043589224184704	13.186075	-556.6265	122241.4460129828
52	3	8.88892423873992	12.164373	-1572.2371	979.8887460764171
52	4	9.560026152155565	12.765532	-3856.9389	-1402.368166543081
52	5	9.151172671795944	12.472872	-2182.2355	842.1907054685781
52	6	9.64537501845487	12.8639345	-3153.5551	-189.19657799842844
52	7	8.921529262701986	12.21208	-2450.0845	441.5113423322789
52	8	8.889815340895156	12.375019	-2381.2108	513.3797739164849
53	1	9.737884610206791	12.918531	-1718.5696	11295.122753654307
53	2	9.040952077149107	12.283388	-1695.0518	3007.2003167861753
53	3	9.313018207282688	12.65394	-1875.0792	7946.357121460976
53	4	8.391328503110485	11.643563	-1453.8845	1416.5380314342156
53	5	7.764143579283331	10.866561	-707.517	1201.8922409272195
53	6	9.83621469275218	13.012374	-1473.4878	6502.818044653035
53	7	9.44195575868889	12.641044	-2827.7416	4612.242999554042
53	8	10.452958645212073	13.579923	-3054.8185	679.3663345752896
54	1	7.044322557805864	10.712408	-96.6337	637.4888715174953
54	2	8.104881475760171	11.148685	-1546.3397	-4840.698746696153
